Brand,Model,Fuel_Type,Horsepower,CO2_g_km,MSRP_USD,Country,Month,Sales_Volume
Hyundai,Model B,Electric,283,243,29763,Japan,2020-01-31,929
BMW,Model D,Electric,376,105,43236,UK,2020-01-31,1798
Kia,Model E,Hybrid,246,212,75762,Spain,2020-01-31,1353
Mercedes,Model D,Hybrid,315,55,31332,UK,2020-01-31,1553
Hyundai,Model A,Hybrid,77,211,40420,USA,2020-01-31,1810
Volkswagen,Model C,Electric,133,114,58286,China,2020-01-31,687
Ford,Model B,Diesel,455,114,21570,China,2020-01-31,1311
Hyundai,Model B,Hybrid,405,169,59944,China,2020-01-31,1355
Kia,Model D,Diesel,84,243,21558,China,2020-01-31,130
Mercedes,Model D,Diesel,352,206,47334,Germany,2020-01-31,59
BMW,Model B,Hybrid,401,134,93341,Japan,2020-01-31,290
Kia,Model B,Petrol,256,183,104663,China,2020-01-31,614
Kia,Model B,Electric,437,86,59804,USA,2020-01-31,766
Ford,Model C,Hybrid,311,193,63385,Japan,2020-01-31,86
Audi,Model C,Diesel,311,157,35449,France,2020-01-31,1769
Mercedes,Model E,Hybrid,387,126,41557,Spain,2020-01-31,777
Honda,Model E,Diesel,80,177,89203,China,2020-01-31,936
Kia,Model D,Diesel,451,145,82226,USA,2020-01-31,470
Audi,Model A,Diesel,198,224,55272,Japan,2020-01-31,21
Honda,Model E,Petrol,410,119,79459,Brazil,2020-01-31,69
Mercedes,Model C,Petrol,187,229,67032,Japan,2020-01-31,1297
Toyota,Model C,Electric,301,127,64735,UK,2020-01-31,387
Volkswagen,Model D,Hybrid,352,103,107526,Japan,2020-01-31,795
Audi,Model C,Hybrid,228,247,65942,UK,2020-01-31,256
Nissan,Model B,Diesel,103,57,117967,Brazil,2020-01-31,496
Toyota,Model A,Diesel,409,241,59983,Italy,2020-01-31,72
Volkswagen,Model A,Petrol,383,88,54872,UK,2020-01-31,122
Ford,Model A,Hybrid,156,184,29685,Brazil,2020-01-31,1748
Hyundai,Model D,Diesel,344,60,28925,China,2020-01-31,60
BMW,Model D,Diesel,344,211,35612,Italy,2020-01-31,803
Nissan,Model B,Electric,244,72,72310,Italy,2020-01-31,172
Ford,Model B,Electric,223,223,88320,USA,2020-01-31,180
Mercedes,Model C,Diesel,245,130,56574,Spain,2020-01-31,743
Ford,Model C,Hybrid,325,242,44707,Brazil,2020-01-31,1025
Hyundai,Model C,Diesel,299,101,40780,France,2020-01-31,617
Mercedes,Model D,Hybrid,212,96,95536,Brazil,2020-01-31,50
Nissan,Model C,Diesel,102,70,97409,China,2020-01-31,389
Hyundai,Model E,Electric,456,211,27423,UK,2020-01-31,1055
Honda,Model D,Diesel,180,140,65254,Spain,2020-01-31,1082
BMW,Model A,Hybrid,481,134,91703,Japan,2020-01-31,764
Nissan,Model C,Petrol,278,125,107460,Japan,2020-01-31,1648
Honda,Model A,Petrol,431,227,57499,Canada,2020-01-31,1828
Volkswagen,Model D,Diesel,451,200,103702,USA,2020-01-31,1747
Nissan,Model E,Hybrid,145,241,27787,Italy,2020-01-31,1576
Volkswagen,Model A,Electric,143,184,92325,USA,2020-01-31,1053
Mercedes,Model D,Petrol,79,114,30703,Japan,2020-01-31,316
Honda,Model A,Diesel,485,68,40345,France,2020-01-31,651
BMW,Model D,Electric,247,150,18749,Spain,2020-01-31,1380
Hyundai,Model E,Hybrid,461,185,17159,USA,2020-01-31,1746
Kia,Model B,Electric,77,73,49887,China,2020-01-31,1053
Ford,Model B,Hybrid,493,61,98351,Brazil,2020-01-31,1741
Toyota,Model C,Electric,138,136,108122,UK,2020-01-31,279
BMW,Model C,Electric,303,67,102925,Italy,2020-01-31,1941
Honda,Model A,Electric,162,81,61891,Italy,2020-01-31,619
Kia,Model C,Petrol,421,209,74986,France,2020-01-31,1526
BMW,Model D,Petrol,253,121,75275,Brazil,2020-01-31,1353
Honda,Model C,Hybrid,163,135,89179,Spain,2020-01-31,358
Audi,Model C,Electric,222,97,56862,UK,2020-01-31,1423
Audi,Model C,Diesel,444,104,56018,Brazil,2020-01-31,1395
Volkswagen,Model B,Petrol,300,69,111947,Brazil,2020-01-31,1925
BMW,Model D,Petrol,214,161,54233,China,2020-01-31,1056
Audi,Model D,Diesel,71,175,105914,Italy,2020-01-31,54
Honda,Model E,Electric,268,62,26923,Italy,2020-01-31,1913
Volkswagen,Model B,Diesel,259,220,75166,UK,2020-01-31,1414
Honda,Model D,Diesel,195,142,119605,Germany,2020-01-31,1877
Volkswagen,Model B,Electric,156,142,108191,Spain,2020-01-31,1779
BMW,Model D,Hybrid,429,57,17118,Japan,2020-01-31,679
Kia,Model B,Hybrid,389,74,54379,Spain,2020-01-31,626
Hyundai,Model D,Petrol,172,97,100547,China,2020-01-31,1601
Nissan,Model B,Petrol,78,87,27855,Spain,2020-01-31,8
Kia,Model A,Petrol,88,182,30939,China,2020-01-31,922
Mercedes,Model E,Diesel,354,179,94111,Germany,2020-01-31,1182
Honda,Model A,Hybrid,445,94,93655,USA,2020-01-31,1606
Mercedes,Model A,Electric,292,102,104316,China,2020-01-31,391
Kia,Model B,Hybrid,376,181,87266,Japan,2020-01-31,435
Volkswagen,Model B,Hybrid,288,60,44435,UK,2020-01-31,1406
Nissan,Model B,Electric,438,249,102979,Italy,2020-01-31,996
Nissan,Model B,Hybrid,111,140,62212,Canada,2020-01-31,371
Toyota,Model E,Diesel,281,63,98288,Italy,2020-01-31,165
Nissan,Model E,Petrol,323,153,101435,Spain,2020-01-31,1124
Hyundai,Model B,Hybrid,268,120,60582,China,2020-01-31,1110
Nissan,Model E,Electric,135,130,21292,Brazil,2020-01-31,1107
Kia,Model C,Petrol,272,109,53624,France,2020-01-31,1900
Toyota,Model D,Petrol,403,141,59778,China,2020-01-31,806
Kia,Model D,Electric,397,212,52677,Canada,2020-01-31,579
Kia,Model A,Electric,356,232,112400,France,2020-01-31,489
Ford,Model D,Hybrid,464,66,45564,Canada,2020-01-31,1235
Toyota,Model B,Electric,265,80,51553,Brazil,2020-01-31,1684
Kia,Model D,Electric,195,83,108748,China,2020-01-31,935
Ford,Model D,Petrol,490,140,48964,Canada,2020-01-31,1952
Ford,Model E,Petrol,430,212,95309,France,2020-01-31,1386
Toyota,Model C,Electric,290,173,109717,Germany,2020-01-31,1033
Mercedes,Model E,Electric,104,151,93907,USA,2020-01-31,897
Volkswagen,Model B,Diesel,72,112,104693,UK,2020-01-31,1907
Hyundai,Model E,Electric,483,244,61546,France,2020-01-31,166
Volkswagen,Model B,Diesel,151,121,78579,USA,2020-01-31,1166
Nissan,Model C,Electric,463,246,115899,China,2020-01-31,1903
Hyundai,Model A,Petrol,335,163,78053,USA,2020-01-31,1340
Nissan,Model A,Electric,422,137,79763,France,2020-01-31,1356
Kia,Model C,Electric,115,51,92837,USA,2020-01-31,303
Honda,Model D,Petrol,183,94,108367,Japan,2020-01-31,788
Toyota,Model C,Petrol,246,77,90345,Canada,2020-01-31,594
Hyundai,Model B,Petrol,77,50,118145,Italy,2020-01-31,1882
Hyundai,Model E,Electric,110,92,30344,UK,2020-01-31,242
Kia,Model C,Electric,344,100,32459,Italy,2020-01-31,451
Mercedes,Model E,Petrol,460,219,84449,France,2020-01-31,1954
Ford,Model B,Electric,102,198,92597,Italy,2020-01-31,1592
Kia,Model D,Petrol,423,130,47592,Brazil,2020-01-31,1693
Audi,Model B,Diesel,339,177,41481,France,2020-01-31,1674
Ford,Model E,Petrol,143,154,84223,USA,2020-01-31,1743
Toyota,Model E,Hybrid,153,211,28488,France,2020-01-31,371
Ford,Model C,Hybrid,216,234,92529,China,2020-01-31,1246
Mercedes,Model E,Petrol,442,160,119643,Italy,2020-01-31,776
Ford,Model D,Petrol,491,109,117519,Germany,2020-01-31,1425
Toyota,Model B,Electric,341,135,44960,UK,2020-01-31,304
Mercedes,Model E,Electric,401,104,95881,Spain,2020-01-31,1861
Volkswagen,Model C,Hybrid,290,213,70406,Canada,2020-01-31,340
Hyundai,Model D,Hybrid,345,121,32771,Brazil,2020-01-31,666
Hyundai,Model A,Diesel,148,244,59071,UK,2020-01-31,1035
Nissan,Model B,Diesel,413,127,59282,USA,2020-01-31,1674
Volkswagen,Model D,Diesel,129,249,59726,Germany,2020-01-31,794
Volkswagen,Model B,Petrol,250,249,87536,France,2020-01-31,1701
Ford,Model A,Hybrid,389,145,27639,UK,2020-01-31,1425
Hyundai,Model B,Hybrid,398,82,113576,USA,2020-01-31,214
Toyota,Model A,Petrol,320,92,56915,UK,2020-01-31,74
BMW,Model A,Diesel,442,199,73528,Japan,2020-01-31,116
